SampleID,Site,FieldType,Factor,Latitude,Env
160,HKRU1,Upland,MAT,19.76,24.72
161,HKRU2,Upland,MAT,19.76,24.72
162,HKRU3,Upland,MAT,19.76,24.72
163,SXRU1,Upland,MAT,21.4,23.82
164,SXRU2,Upland,MAT,21.4,23.82
165,SXRU3,Upland,MAT,21.43,23.82
166,YLRU1,Upland,MAT,22.57,22.17
167,YLRU2,Upland,MAT,22.57,22.17
168,YLRU3,Upland,MAT,22.56,22.17
169,WZRU1,Upland,MAT,23.55,22.15
170,WZRU2,Upland,MAT,23.55,22.15
171,WZRU3,Upland,MAT,23.56,22.15
172,JHRU1,Upland,MAT,25.21,18.7
173,JHRU2,Upland,MAT,25.21,18.7
174,JHRU3,Upland,MAT,25.21,18.7
175,QYRU1,Upland,MAT,26.76,18.88
176,QYRU2,Upland,MAT,26.76,18.88
177,QYRU3,Upland,MAT,26.77,18.88
178,LDRU1,Upland,MAT,27.64,18.03
179,LDRU2,Upland,MAT,27.64,18.03
180,LDRU3,Upland,MAT,27.62,18.03
181,YiYangRU1,Upland,MAT,28.58,18.18
182,YiYangRU2,Upland,MAT,28.58,18.18
183,YiYangRU3,Upland,MAT,28.58,18.18
184,HRRU1,Upland,MAT,29.51,18.26
185,HRRU2,Upland,MAT,29.51,18.26
186,HRRU3,Upland,MAT,29.51,18.26
187,QJRU1,Upland,MAT,30.46,17.8
188,QJRU2,Upland,MAT,30.46,17.8
189,QJRU3,Upland,MAT,30.46,17.8
190,XGRU1,Upland,MAT,30.94,17.71
191,XGRU2,Upland,MAT,30.94,17.71
192,XGRU3,Upland,MAT,30.94,17.71
193,XYRU1,Upland,MAT,32.2,15.99
194,XYRU2,Upland,MAT,32.2,15.99
195,XYRU3,Upland,MAT,32.2,15.99
196,LHRU1,Upland,MAT,33.52,16.39
197,LHRU2,Upland,MAT,33.52,16.39
198,LHRU3,Upland,MAT,33.52,16
199,YYRU1,Upland,MAT,35.01,16.51
200,YYRU2,Upland,MAT,35,16
201,YYRU3,Upland,MAT,35.02,16.51
202,HDRU1,Upland,MAT,36.43,15.21
203,HDRU2,Upland,MAT,36.44,15.21
204,HDRU3,Upland,MAT,36.44,15.21
205,XJRU1,Upland,MAT,37.88,14.78
206,XJRU2,Upland,MAT,37.88,14.78
207,XJRU3,Upland,MAT,37.88,14.78
208,BZRU1,Upland,MAT,39.15,13.89
209,BZRU2,Upland,MAT,39.15,13.89
210,BZRU3,Upland,MAT,39.14,13.89
211,QHDRU1,Upland,MAT,39.82,11.8
212,QHDRU2,Upland,MAT,39.83,11.8
213,QHDRU3,Upland,MAT,39.81,11.8
214,PJRU1,Upland,MAT,41.24,10.49
215,PJRU2,Upland,MAT,41.24,10.49
216,PJRU3,Upland,MAT,41.24,10.49
217,SYSRU1,Upland,MAT,42,9.62
218,SYSRU2,Upland,MAT,42,9.62
219,SYSRU3,Upland,MAT,42,9.62
220,SPRU1,Upland,MAT,43.26,7.5
221,SPRU2,Upland,MAT,43.26,7.5
222,SPRU3,Upland,MAT,43.25,7.45
223,DHRU1,Upland,MAT,44.55,6.31
224,DHRU2,Upland,MAT,44.55,6.31
225,DHRU3,Upland,MAT,44.55,6.31
226,HLRU1,Upland,MAT,47.46,3.05
227,HLRU2,Upland,MAT,47.46,3.05
228,HLRU3,Upland,MAT,47.46,3.05
229,HEBRU1,Upland,MAT,45.83,4.88
230,HEBRU2,Upland,MAT,45.83,4.88
231,HEBRU3,Upland,MAT,45.83,4.88
232,NJRU1,Upland,MAT,49.13,2.38
233,NJRU2,Upland,MAT,49.14,2.38
234,NJRU3,Upland,MAT,49.14,2.38
235,HMRU1,Upland,MAT,51.72,0.31
236,HMRU2,Upland,MAT,51.72,0.31
237,HMRU3,Upland,MAT,51.72,0.31
238,MHRU1,Upland,MAT,53.49,-2.35
239,MHRU2,Upland,MAT,53.49,-2.35
240,MHRU3,Upland,MAT,53.49,-2.35
241,SYRP1,Paddy,MAT,18.34,25.17
242,SYRP2,Paddy,MAT,18.34,25.17
243,SYRP3,Paddy,MAT,18.34,25.17
244,HKRP1,Paddy,MAT,19.81,24.79
245,HKRP2,Paddy,MAT,19.8,24.79
246,HKRP3,Paddy,MAT,19.82,24.79
247,SXRP1,Paddy,MAT,21.4,23.82
248,SXRP2,Paddy,MAT,21.4,23.82
249,SXRP3,Paddy,MAT,21.43,23.82
250,YLRP1,Paddy,MAT,22.57,22.17
251,YLRP2,Paddy,MAT,22.57,22.17
252,YLRP3,Paddy,MAT,22.56,22.17
253,WZRP1,Paddy,MAT,23.55,22.15
254,WZRP2,Paddy,MAT,23.55,22.15
255,WZRP3,Paddy,MAT,23.55,22.15
256,JHRP1,Paddy,MAT,25.21,18.7
257,JHRP2,Paddy,MAT,25.21,18.7
258,JHRP3,Paddy,MAT,25.21,18.7
259,QYRP1,Paddy,MAT,26.76,18.88
260,QYRP2,Paddy,MAT,26.76,18.88
261,QYRP3,Paddy,MAT,26.76,18.88
262,LDRP1,Paddy,MAT,27.63,18.03
263,LDRP2,Paddy,MAT,27.63,18.03
264,LDRP3,Paddy,MAT,27.62,18.03
265,YiYangRP1,Paddy,MAT,28.6,18.18
266,YiYangRP2,Paddy,MAT,28.44,17.62
267,YiYangRP3,Paddy,MAT,28.6,18.18
268,HRRP1,Paddy,MAT,29.51,18.26
269,HRRP2,Paddy,MAT,29.51,18.26
270,HRRP3,Paddy,MAT,29.51,18.26
271,QJRP1,Paddy,MAT,30.43,17.8
272,QJRP2,Paddy,MAT,30.39,17.8
273,QJRP3,Paddy,MAT,30.4,17.8
274,XGRP1,Paddy,MAT,30.94,17.71
275,XGRP2,Paddy,MAT,30.94,17.71
276,XGRP3,Paddy,MAT,30.94,17.71
277,XYRP1,Paddy,MAT,32.2,15.99
278,XYRP2,Paddy,MAT,32.2,15.99
279,XYRP3,Paddy,MAT,32.2,15.99
280,YYRP1,Paddy,MAT,35.02,16.51
281,YYRP2,Paddy,MAT,35.02,16.51
282,YYRP3,Paddy,MAT,35.02,16.51
283,HDRP1,Paddy,MAT,36.44,15.21
284,HDRP2,Paddy,MAT,36.45,15.21
285,HDRP3,Paddy,MAT,36.45,15.21
286,QHDRP1,Paddy,MAT,39.82,11.8
287,QHDRP2,Paddy,MAT,39.82,11.8
288,QHDRP3,Paddy,MAT,39.81,11.8
289,PJRP1,Paddy,MAT,41.24,10.49
290,PJRP2,Paddy,MAT,41.24,10.49
291,PJRP3,Paddy,MAT,41.24,10.49
292,SYSRP1,Paddy,MAT,42.02,9.39
293,SYSRP2,Paddy,MAT,42.01,9.39
294,SYSRP3,Paddy,MAT,42.01,9.39
295,SPRP1,Paddy,MAT,43.25,7.45
296,SPRP2,Paddy,MAT,43.26,7.5
297,SPRP3,Paddy,MAT,43.26,7.5
298,DHRP1,Paddy,MAT,44.56,6.43
299,DHRP2,Paddy,MAT,44.55,6.31
300,DHRP3,Paddy,MAT,44.55,6.31
301,HLRP1,Paddy,MAT,47.46,3.05
302,HLRP2,Paddy,MAT,47.46,3.05
303,HLRP3,Paddy,MAT,47.46,3.05
304,HEBRP1,Paddy,MAT,45.83,4.88
305,HEBRP2,Paddy,MAT,45.83,5.39
306,HEBRP3,Paddy,MAT,45.82,4.88
307,NJRP1,Paddy,MAT,49.14,2.38
308,NJRP2,Paddy,MAT,49.14,2.38
309,NJRP3,Paddy,MAT,49.14,2.38
310,HMRP1,Paddy,MAT,51.74,0.31
311,HMRP2,Paddy,MAT,51.74,0.31
312,HMRP3,Paddy,MAT,51.74,0.31
313,SYRU1,Upland,ST,18.34,25.87
314,SYRU2,Upland,ST,18.34,25.87
315,SYRU3,Upland,ST,18.34,25.87
316,HKRU1,Upland,ST,19.76,25.57
317,HKRU2,Upland,ST,19.76,25.57
318,HKRU3,Upland,ST,19.76,25.57
319,SXRU1,Upland,ST,21.4,24.48
320,SXRU2,Upland,ST,21.4,24.48
321,SXRU3,Upland,ST,21.43,24.48
322,YLRU1,Upland,ST,22.57,22.52
323,YLRU2,Upland,ST,22.57,22.52
324,YLRU3,Upland,ST,22.56,22.52
325,WZRU1,Upland,ST,23.55,22.21
326,WZRU2,Upland,ST,23.55,22.21
327,WZRU3,Upland,ST,23.56,22.21
328,JHRU1,Upland,ST,25.21,18.77
329,JHRU2,Upland,ST,25.21,18.77
330,JHRU3,Upland,ST,25.21,18.77
331,QYRU1,Upland,ST,26.76,19.2
332,QYRU2,Upland,ST,26.76,19.2
333,QYRU3,Upland,ST,26.77,19.2
334,LDRU1,Upland,ST,27.64,18.43
335,LDRU2,Upland,ST,27.64,18.43
336,LDRU3,Upland,ST,27.62,18.43
337,YiYangRU1,Upland,ST,28.58,18.71
338,YiYangRU2,Upland,ST,28.58,18.71
339,YiYangRU3,Upland,ST,28.58,18.71
340,HRRU1,Upland,ST,29.51,18.79
341,HRRU2,Upland,ST,29.51,18.79
342,HRRU3,Upland,ST,29.51,18.79
343,QJRU1,Upland,ST,30.46,18.3
344,QJRU2,Upland,ST,30.46,18.3
345,QJRU3,Upland,ST,30.46,18.3
346,XGRU1,Upland,ST,30.94,18.2
347,XGRU2,Upland,ST,30.94,18.2
348,XGRU3,Upland,ST,30.94,18.2
349,XYRU1,Upland,ST,32.2,16.45
350,XYRU2,Upland,ST,32.2,16.45
351,XYRU3,Upland,ST,32.2,16.45
352,LHRU1,Upland,ST,33.52,17.17
353,LHRU2,Upland,ST,33.52,17.17
354,LHRU3,Upland,ST,33.52,16.82
355,YYRU1,Upland,ST,35.01,17.27
356,YYRU2,Upland,ST,35,16.82
357,YYRU3,Upland,ST,35.02,17.27
358,HDRU1,Upland,ST,36.43,15.97
359,HDRU2,Upland,ST,36.44,15.97
360,HDRU3,Upland,ST,36.44,15.97
361,XJRU1,Upland,ST,37.88,15.52
362,XJRU2,Upland,ST,37.88,15.52
363,XJRU3,Upland,ST,37.88,15.52
364,BZRU1,Upland,ST,39.15,14.36
365,BZRU2,Upland,ST,39.15,14.36
366,BZRU3,Upland,ST,39.14,14.36
367,QHDRU1,Upland,ST,39.82,11.86
368,QHDRU2,Upland,ST,39.83,11.86
369,QHDRU3,Upland,ST,39.81,11.86
370,PJRU1,Upland,ST,41.24,10.78
371,PJRU2,Upland,ST,41.24,10.78
372,PJRU3,Upland,ST,41.24,10.78
373,SYSRU1,Upland,ST,42,10.17
374,SYSRU2,Upland,ST,42,10.17
375,SYSRU3,Upland,ST,42,10.17
376,SPRU1,Upland,ST,43.26,7.99
377,SPRU2,Upland,ST,43.26,7.99
378,SPRU3,Upland,ST,43.25,7.46
379,DHRU1,Upland,ST,44.55,6.97
380,DHRU2,Upland,ST,44.55,6.97
381,DHRU3,Upland,ST,44.55,6.97
382,HLRU1,Upland,ST,47.46,3.34
383,HLRU2,Upland,ST,47.46,3.34
384,HLRU3,Upland,ST,47.46,3.34
385,HEBRU1,Upland,ST,45.83,5.5
386,HEBRU2,Upland,ST,45.83,5.5
387,HEBRU3,Upland,ST,45.83,5.5
388,NJRU1,Upland,ST,49.13,2.37
389,NJRU2,Upland,ST,49.14,2.37
390,NJRU3,Upland,ST,49.14,2.37
391,HMRU1,Upland,ST,51.72,0.24
392,HMRU2,Upland,ST,51.72,0.24
393,HMRU3,Upland,ST,51.72,0.24
394,MHRU1,Upland,ST,53.49,0.03
395,MHRU2,Upland,ST,53.49,0.03
396,MHRU3,Upland,ST,53.49,0.03
397,SYRP1,Paddy,ST,18.34,25.87
398,SYRP2,Paddy,ST,18.34,25.87
399,SYRP3,Paddy,ST,18.34,25.87
400,HKRP1,Paddy,ST,19.81,25.67
401,HKRP2,Paddy,ST,19.8,25.67
402,HKRP3,Paddy,ST,19.82,25.67
403,SXRP1,Paddy,ST,21.4,24.48
404,SXRP2,Paddy,ST,21.4,24.48
405,SXRP3,Paddy,ST,21.43,24.48
406,YLRP1,Paddy,ST,22.57,22.52
407,YLRP2,Paddy,ST,22.57,22.52
408,YLRP3,Paddy,ST,22.56,22.52
409,WZRP1,Paddy,ST,23.55,22.21
410,WZRP2,Paddy,ST,23.55,22.21
411,WZRP3,Paddy,ST,23.55,22.21
412,JHRP1,Paddy,ST,25.21,18.77
413,JHRP2,Paddy,ST,25.21,18.77
414,JHRP3,Paddy,ST,25.21,18.77
415,QYRP1,Paddy,ST,26.76,19.2
416,QYRP2,Paddy,ST,26.76,19.2
417,QYRP3,Paddy,ST,26.76,19.2
418,LDRP1,Paddy,ST,27.63,18.43
419,LDRP2,Paddy,ST,27.63,18.43
420,LDRP3,Paddy,ST,27.62,18.43
421,YiYangRP1,Paddy,ST,28.6,18.71
422,YiYangRP2,Paddy,ST,28.44,18.13
423,YiYangRP3,Paddy,ST,28.6,18.71
424,HRRP1,Paddy,ST,29.51,18.79
425,HRRP2,Paddy,ST,29.51,18.79
426,HRRP3,Paddy,ST,29.51,18.79
427,QJRP1,Paddy,ST,30.43,18.3
428,QJRP2,Paddy,ST,30.39,18.3
429,QJRP3,Paddy,ST,30.4,18.3
430,XGRP1,Paddy,ST,30.94,18.2
431,XGRP2,Paddy,ST,30.94,18.2
432,XGRP3,Paddy,ST,30.94,18.2
433,XYRP1,Paddy,ST,32.2,16.45
434,XYRP2,Paddy,ST,32.2,16.45
435,XYRP3,Paddy,ST,32.2,16.45
436,YYRP1,Paddy,ST,35.02,17.27
437,YYRP2,Paddy,ST,35.02,17.27
438,YYRP3,Paddy,ST,35.02,17.27
439,HDRP1,Paddy,ST,36.44,15.97
440,HDRP2,Paddy,ST,36.45,15.97
441,HDRP3,Paddy,ST,36.45,15.97
442,QHDRP1,Paddy,ST,39.82,11.86
443,QHDRP2,Paddy,ST,39.82,11.86
444,QHDRP3,Paddy,ST,39.81,11.86
445,PJRP1,Paddy,ST,41.24,10.78
446,PJRP2,Paddy,ST,41.24,10.78
447,PJRP3,Paddy,ST,41.24,10.78
448,SYSRP1,Paddy,ST,42.02,9.94
449,SYSRP2,Paddy,ST,42.01,9.94
450,SYSRP3,Paddy,ST,42.01,9.94
451,SPRP1,Paddy,ST,43.25,7.46
452,SPRP2,Paddy,ST,43.26,7.99
453,SPRP3,Paddy,ST,43.26,7.99
454,DHRP1,Paddy,ST,44.56,7.14
455,DHRP2,Paddy,ST,44.55,6.97
456,DHRP3,Paddy,ST,44.55,6.97
457,HLRP1,Paddy,ST,47.46,3.34
458,HLRP2,Paddy,ST,47.46,3.34
459,HLRP3,Paddy,ST,47.46,3.34
460,HEBRP1,Paddy,ST,45.83,5.5
461,HEBRP2,Paddy,ST,45.83,6.1
462,HEBRP3,Paddy,ST,45.82,5.5
463,NJRP1,Paddy,ST,49.14,2.37
464,NJRP2,Paddy,ST,49.14,2.37
465,NJRP3,Paddy,ST,49.14,2.37
466,HMRP1,Paddy,ST,51.74,0.24
467,HMRP2,Paddy,ST,51.74,0.24
468,HMRP3,Paddy,ST,51.74,0.24
469,SYRU1,Upland,pH,18.34,6.61
470,SYRU2,Upland,pH,18.34,6.28
471,SYRU3,Upland,pH,18.34,6.11
472,HKRU1,Upland,pH,19.76,5.89
473,HKRU2,Upland,pH,19.76,5.96
474,HKRU3,Upland,pH,19.76,5.74
475,SXRU1,Upland,pH,21.4,5.51
476,SXRU2,Upland,pH,21.4,5.35
477,SXRU3,Upland,pH,21.43,5.22
478,YLRU1,Upland,pH,22.57,5.65
479,YLRU2,Upland,pH,22.57,5.55
480,YLRU3,Upland,pH,22.56,5.39
481,WZRU1,Upland,pH,23.55,5.98
482,WZRU2,Upland,pH,23.55,5.61
483,WZRU3,Upland,pH,23.56,5.51
484,JHRU1,Upland,pH,25.21,6.1
485,JHRU2,Upland,pH,25.21,5.75
486,JHRU3,Upland,pH,25.21,5.46
487,QYRU1,Upland,pH,26.76,5.38
488,QYRU2,Upland,pH,26.76,5.08
489,QYRU3,Upland,pH,26.77,5.2
490,LDRU1,Upland,pH,27.64,5.56
491,LDRU2,Upland,pH,27.64,5.5
492,LDRU3,Upland,pH,27.62,5.5
493,YiYangRU1,Upland,pH,28.58,5.4
494,YiYangRU2,Upland,pH,28.58,5.28
495,YiYangRU3,Upland,pH,28.58,5.05
496,HRRU1,Upland,pH,29.51,6.54
497,HRRU2,Upland,pH,29.51,6.65
498,HRRU3,Upland,pH,29.51,6.69
499,QJRU1,Upland,pH,30.46,6.73
500,QJRU2,Upland,pH,30.46,6.71
501,QJRU3,Upland,pH,30.46,6.73
502,XGRU1,Upland,pH,30.94,6.34
503,XGRU2,Upland,pH,30.94,5.92
504,XGRU3,Upland,pH,30.94,5.63
505,XYRU1,Upland,pH,32.2,5.8
506,XYRU2,Upland,pH,32.2,5.16
507,XYRU3,Upland,pH,32.2,5.79
508,LHRU1,Upland,pH,33.52,6.61
509,LHRU2,Upland,pH,33.52,4.56
510,LHRU3,Upland,pH,33.52,6.12
511,YYRU1,Upland,pH,35.01,6.73
512,YYRU2,Upland,pH,35,6.89
513,YYRU3,Upland,pH,35.02,7.02
514,HDRU1,Upland,pH,36.43,7
515,HDRU2,Upland,pH,36.44,7.04
516,HDRU3,Upland,pH,36.44,7.05
517,XJRU1,Upland,pH,37.88,6.88
518,XJRU2,Upland,pH,37.88,7.17
519,XJRU3,Upland,pH,37.88,7.54
520,BZRU1,Upland,pH,39.15,7.48
521,BZRU2,Upland,pH,39.15,7.58
522,BZRU3,Upland,pH,39.14,7.56
523,QHDRU1,Upland,pH,39.82,7.43
524,QHDRU2,Upland,pH,39.83,7.26
525,QHDRU3,Upland,pH,39.81,7.37
526,PJRU1,Upland,pH,41.24,7.15
527,PJRU2,Upland,pH,41.24,7.11
528,PJRU3,Upland,pH,41.24,7.2
529,SYSRU1,Upland,pH,42,6.7
530,SYSRU2,Upland,pH,42,6.66
531,SYSRU3,Upland,pH,42,6.14
532,SPRU1,Upland,pH,43.26,5.98
533,SPRU2,Upland,pH,43.26,5.99
534,SPRU3,Upland,pH,43.25,6.12
535,DHRU1,Upland,pH,44.55,6.21
536,DHRU2,Upland,pH,44.55,5.62
537,DHRU3,Upland,pH,44.55,5.26
538,HLRU1,Upland,pH,47.46,5.56
539,HLRU2,Upland,pH,47.46,5.58
540,HLRU3,Upland,pH,47.46,5.51
541,HEBRU1,Upland,pH,45.83,5.96
542,HEBRU2,Upland,pH,45.83,6.05
543,HEBRU3,Upland,pH,45.83,6.12
544,NJRU1,Upland,pH,49.13,5.94
545,NJRU2,Upland,pH,49.14,5.87
546,NJRU3,Upland,pH,49.14,5.84
547,HMRU1,Upland,pH,51.72,5.86
548,HMRU2,Upland,pH,51.72,5.77
549,HMRU3,Upland,pH,51.72,5.77
550,MHRU1,Upland,pH,53.49,5.82
551,MHRU2,Upland,pH,53.49,5.67
552,MHRU3,Upland,pH,53.49,5.86
553,SYRP1,Paddy,pH,18.34,5.75
554,SYRP2,Paddy,pH,18.34,5.85
555,SYRP3,Paddy,pH,18.34,6.05
556,HKRP1,Paddy,pH,19.81,6.07
557,HKRP2,Paddy,pH,19.8,6.1
558,HKRP3,Paddy,pH,19.82,5.8
559,SXRP1,Paddy,pH,21.4,5.81
560,SXRP2,Paddy,pH,21.4,5.85
561,SXRP3,Paddy,pH,21.43,5.89
562,YLRP1,Paddy,pH,22.57,5.67
563,YLRP2,Paddy,pH,22.57,5.79
564,YLRP3,Paddy,pH,22.56,5.65
565,WZRP1,Paddy,pH,23.55,4.92
566,WZRP2,Paddy,pH,23.55,4.58
567,WZRP3,Paddy,pH,23.55,4.74
568,JHRP1,Paddy,pH,25.21,5.34
569,JHRP2,Paddy,pH,25.21,5.47
570,JHRP3,Paddy,pH,25.21,5.44
