,PE,Factor,Value,Field
69,883.945,B_PCoA1,-0.212940057,Upland
70,635.919,B_PCoA1,-0.066271331,Upland
71,883.908,B_PCoA1,-0.154238092,Upland
72,411.596,B_PCoA1,-0.267950858,Upland
73,362.593,B_PCoA1,0.213866068,Upland
74,429.574,B_PCoA1,0.203300935,Upland
75,294.47,B_PCoA1,0.202120431,Upland
76,761.857,B_PCoA1,-0.110392308,Upland
77,389.338,B_PCoA1,-0.111564274,Upland
78,648.707,B_PCoA1,-0.106956794,Upland
79,522.958,B_PCoA1,-0.106008289,Upland
80,594.33,B_PCoA1,-0.112431437,Upland
81,589.551,B_PCoA1,-0.108284748,Upland
82,617.932,B_PCoA1,-0.188960255,Upland
83,547.58,B_PCoA1,-0.229618491,Upland
84,722.886,B_PCoA1,-0.108629363,Upland
85,807.484,B_PCoA1,-0.071246595,Paddy
86,676.109,B_PCoA1,-0.046245718,Paddy
87,758.225,B_PCoA1,-0.132877436,Paddy
88,635.058,B_PCoA1,-0.197865483,Paddy
89,596.11,B_PCoA1,-0.006353367,Paddy
90,574.103,B_PCoA1,-0.037398592,Paddy
91,639.546,B_PCoA1,-0.174164505,Paddy
92,373.848,B_PCoA1,-0.004788476,Paddy
93,516.079,B_PCoA1,0.029427652,Paddy
94,717.906,B_PCoA1,-0.149875879,Paddy
95,625.238,B_PCoA1,-0.267267971,Paddy
96,875.563,B_PCoA1,-0.255349947,Paddy
97,523.126,B_PCoA1,-0.284896668,Paddy
98,249.35,B_PCoA1,-0.075610537,Paddy
99,710.637,B_PCoA1,-0.100539962,Paddy
100,692.127,B_PCoA1,-0.064774015,Paddy
101,504.388,B_PCoA1,0.125126712,Paddy
102,329.18,B_PCoA1,0.206660005,Paddy
103,498.429,B_PCoA1,0.231795501,Paddy
104,658.159,B_PCoA1,0.234293002,Paddy
105,949.903,B_PCoA1,-0.117679306,Paddy
106,991.284,B_PCoA1,-0.138237407,Paddy
107,800.703,B_PCoA1,-0.153028335,Paddy
108,333.172,B_PCoA1,0.241139103,Paddy
109,444.113,B_PCoA1,0.248014264,Paddy
110,629.757,B_PCoA1,0.214254861,Paddy
111,597.065,B_PCoA1,0.261066981,Paddy
112,442.747,B_PCoA1,0.271160988,Paddy
113,721.404,B_PCoA1,0.270549539,Paddy
114,804.472,B_PCoA1,-0.061589098,Paddy
115,535.172,B_PCoA1,0.028187426,Paddy
116,684.029,B_PCoA1,-0.157185978,Paddy
117,670.041,B_PCoA1,-0.103145241,Paddy
118,767.437,B_PCoA1,-0.056537984,Paddy
119,796.459,B_PCoA1,0.100841811,Paddy
120,788.086,B_PCoA1,0.284870906,Paddy
121,431.045,B_PCoA1,0.288754328,Paddy
122,496.361,B_PCoA1,0.281957302,Paddy
123,719.399,B_PCoA1,0.334768531,Paddy
124,448.677,B_PCoA1,0.306356998,Paddy
125,571.003,B_PCoA1,0.321703806,Paddy
126,595.786,B_PCoA1,0.053078235,Paddy
127,561.664,B_PCoA1,0.067320238,Paddy
128,764.916,B_PCoA1,0.176962152,Paddy
129,583.37,B_PCoA1,0.238892541,Paddy
130,609.848,B_PCoA1,0.229209453,Paddy
131,517.395,B_PCoA1,0.250597956,Paddy
132,305.511,B_PCoA1,0.264959805,Paddy
133,393.598,B_PCoA1,0.291674636,Paddy
134,589.146,B_PCoA1,0.307964262,Paddy
135,658.366,B_PCoA1,0.307653041,Paddy
136,279.338,B_PCoA1,0.289758039,Paddy
137,460.482,B_PCoA1,0.011605921,Paddy
138,570.073,B_PCoA1,0.041760186,Paddy
139,274.352,B_PCoA1,0.289772957,Paddy
140,471.882,B_PCoA1,0.187318496,Paddy
141,545.259,B_PCoA1,0.093838304,Paddy
142,693.162,B_PCoA1,0.161648949,Paddy
143,434.697,B_PCoA1,0.284703422,Paddy
144,362.577,B_PCoA1,0.292756712,Paddy
145,351.047,B_PCoA1,0.050945598,Paddy
146,306.519,B_PCoA1,0.132800568,Paddy
147,590.669,B_PCoA1,0.116400933,Paddy
148,713.635,B_PCoA1,-0.123553209,Paddy
149,475.267,B_PCoA1,-0.107615524,Paddy
150,645.646,B_PCoA1,-0.072600596,Paddy
151,547.45,B_PCoA1,-0.08742081,Paddy
152,602.154,MAT,25.17,Upland
153,686.076,MAT,25.17,Upland
154,803.424,MAT,25.17,Upland
155,839.502,MAT,24.72,Upland
156,763.322,MAT,24.72,Upland
157,730.699,MAT,24.72,Upland
158,785.49,MAT,23.82,Upland
159,744.136,MAT,23.82,Upland
160,590.665,MAT,23.82,Upland
161,488.283,MAT,22.17,Upland
162,673.919,MAT,22.17,Upland
163,626.743,MAT,22.17,Upland
164,445.846,MAT,22.15,Upland
165,484.701,MAT,22.15,Upland
166,633.645,MAT,22.15,Upland
167,313.667,MAT,18.7,Upland
168,492.895,MAT,18.7,Upland
169,564.198,MAT,18.7,Upland
170,782.997,MAT,18.88,Upland
171,897.059,MAT,18.88,Upland
172,913.038,MAT,18.88,Upland
173,1144.393,MAT,18.03,Upland
174,1117.932,MAT,18.03,Upland
175,1001.185,MAT,18.03,Upland
176,1032.616,MAT,18.18,Upland
177,1004.587,MAT,18.18,Upland
178,1191.38,MAT,18.18,Upland
179,626.18,MAT,18.26,Upland
180,468.453,MAT,18.26,Upland
181,451.089,MAT,18.26,Upland
182,727.145,MAT,17.8,Upland
183,775.803,MAT,17.8,Upland
184,687.528,MAT,17.8,Upland
185,1020.089,MAT,17.71,Upland
186,945.409,MAT,17.71,Upland
187,1086.005,MAT,17.71,Upland
188,947.486,MAT,15.99,Upland
189,1078.912,MAT,15.99,Upland
190,1055.704,MAT,15.99,Upland
191,859.877,MAT,16.39,Upland
192,1270.509,MAT,16.39,Upland
193,725.766,MAT,16,Upland
194,512.438,MAT,16.51,Upland
195,512.054,MAT,16,Upland
196,657.266,MAT,16.51,Upland
197,267.143,MAT,15.21,Upland
198,605.062,MAT,15.21,Upland
199,336.134,MAT,15.21,Upland
200,422.928,MAT,14.78,Upland
201,519.516,MAT,14.78,Upland
202,478.138,MAT,14.78,Upland
203,600.052,MAT,13.89,Upland
204,679.589,MAT,13.89,Upland
205,959.909,MAT,13.89,Upland
206,771.92,MAT,11.8,Upland
207,1009.342,MAT,11.8,Upland
208,989.383,MAT,11.8,Upland
209,644.707,MAT,10.49,Upland
210,507.641,MAT,10.49,Upland
211,518.05,MAT,10.49,Upland
212,922.305,MAT,9.62,Upland
213,950.404,MAT,9.62,Upland
214,960.282,MAT,9.62,Upland
215,1152.479,MAT,7.5,Upland
216,948.618,MAT,7.5,Upland
217,951.182,MAT,7.45,Upland
218,1023.178,MAT,6.31,Upland
219,1253.699,MAT,6.31,Upland
220,883.945,MAT,6.31,Upland
221,635.919,MAT,3.05,Upland
222,883.908,MAT,3.05,Upland
223,411.596,MAT,3.05,Upland
224,362.593,MAT,4.88,Upland
225,429.574,MAT,4.88,Upland
226,294.47,MAT,4.88,Upland
227,761.857,MAT,2.38,Upland
228,389.338,MAT,2.38,Upland
229,648.707,MAT,2.38,Upland
230,522.958,MAT,0.31,Upland
231,594.33,MAT,0.31,Upland
232,589.551,MAT,0.31,Upland
233,617.932,MAT,-2.35,Upland
234,547.58,MAT,-2.35,Upland
235,722.886,MAT,-2.35,Upland
236,807.484,MAT,25.17,Paddy
237,676.109,MAT,25.17,Paddy
238,758.225,MAT,25.17,Paddy
239,635.058,MAT,24.79,Paddy
240,596.11,MAT,23.82,Paddy
241,574.103,MAT,23.82,Paddy
242,639.546,MAT,23.82,Paddy
243,373.848,MAT,22.17,Paddy
244,516.079,MAT,22.17,Paddy
245,717.906,MAT,22.17,Paddy
246,625.238,MAT,22.15,Paddy
247,875.563,MAT,22.15,Paddy
248,523.126,MAT,22.15,Paddy
249,249.35,MAT,18.7,Paddy
250,710.637,MAT,18.7,Paddy
251,692.127,MAT,18.88,Paddy
252,504.388,MAT,18.88,Paddy
253,329.18,MAT,18.03,Paddy
254,498.429,MAT,18.03,Paddy
255,658.159,MAT,18.03,Paddy
256,949.903,MAT,18.18,Paddy
257,991.284,MAT,17.62,Paddy
258,800.703,MAT,18.18,Paddy
259,333.172,MAT,18.26,Paddy
260,444.113,MAT,18.26,Paddy
261,629.757,MAT,18.26,Paddy
262,597.065,MAT,17.8,Paddy
263,442.747,MAT,17.8,Paddy
264,721.404,MAT,17.8,Paddy
265,804.472,MAT,17.71,Paddy
266,535.172,MAT,17.71,Paddy
267,684.029,MAT,17.71,Paddy
268,670.041,MAT,15.99,Paddy
269,767.437,MAT,15.99,Paddy
270,796.459,MAT,15.99,Paddy
271,788.086,MAT,16.51,Paddy
272,431.045,MAT,16.51,Paddy
273,496.361,MAT,16.51,Paddy
274,719.399,MAT,15.21,Paddy
275,448.677,MAT,15.21,Paddy
276,571.003,MAT,15.21,Paddy
277,595.786,MAT,11.8,Paddy
278,561.664,MAT,11.8,Paddy
279,764.916,MAT,11.8,Paddy
280,583.37,MAT,10.49,Paddy
281,609.848,MAT,10.49,Paddy
282,517.395,MAT,9.39,Paddy
283,305.511,MAT,9.39,Paddy
284,393.598,MAT,9.39,Paddy
285,589.146,MAT,7.45,Paddy
286,658.366,MAT,7.5,Paddy
287,279.338,MAT,7.5,Paddy
288,460.482,MAT,6.43,Paddy
289,570.073,MAT,6.31,Paddy
290,274.352,MAT,6.31,Paddy
291,471.882,MAT,3.05,Paddy
292,545.259,MAT,3.05,Paddy
293,693.162,MAT,3.05,Paddy
294,434.697,MAT,4.88,Paddy
295,362.577,MAT,5.39,Paddy
296,351.047,MAT,4.88,Paddy
297,306.519,MAT,2.38,Paddy
298,590.669,MAT,2.38,Paddy
299,713.635,MAT,2.38,Paddy
300,475.267,MAT,0.31,Paddy
301,645.646,MAT,0.31,Paddy
302,547.45,MAT,0.31,Paddy
303,602.154,OM,22.412,Upland
304,686.076,OM,17.757,Upland
305,803.424,OM,13.792,Upland
306,839.502,OM,25.343,Upland
307,763.322,OM,25.17,Upland
308,730.699,OM,27.584,Upland
309,785.49,OM,26.55,Upland
310,744.136,OM,28.791,Upland
311,590.665,OM,15.688,Upland
312,488.283,OM,23.791,Upland
313,673.919,OM,18.792,Upland
314,626.743,OM,28.446,Upland
315,445.846,OM,9.137,Upland
316,484.701,OM,12.585,Upland
317,633.645,OM,7.586,Upland
318,313.667,OM,21.033,Upland
319,492.895,OM,20.688,Upland
320,564.198,OM,23.619,Upland
321,782.997,OM,14.654,Upland
322,897.059,OM,18.792,Upland
323,913.038,OM,42.238,Upland
324,1144.393,OM,16.55,Upland
325,1117.932,OM,28.791,Upland
326,1001.185,OM,27.756,Upland
327,1032.616,OM,27.756,Upland
328,1004.587,OM,32.928,Upland
329,1191.38,OM,33.101,Upland
330,626.18,OM,25.86,Upland
331,468.453,OM,24.998,Upland
332,451.089,OM,26.205,Upland
333,727.145,OM,16.723,Upland
334,775.803,OM,14.826,Upland
335,687.528,OM,16.378,Upland
336,1020.089,OM,17.068,Upland
337,945.409,OM,19.309,Upland
338,1086.005,OM,19.481,Upland
339,947.486,OM,18.447,Upland
340,1078.912,OM,18.102,Upland
341,1055.704,OM,18.102,Upland
342,859.877,OM,23.102,Upland
343,1270.509,OM,21.205,Upland
344,725.766,OM,33.963,Upland
345,512.438,OM,32.584,Upland
346,512.054,OM,32.584,Upland
347,657.266,OM,27.756,Upland
348,267.143,OM,42.928,Upland
349,605.062,OM,43.79,Upland
350,336.134,OM,42.238,Upland
351,422.928,OM,38.962,Upland
352,519.516,OM,43.1,Upland
353,478.138,OM,37.928,Upland
354,600.052,OM,32.928,Upland
355,679.589,OM,32.928,Upland
356,959.909,OM,33.101,Upland
357,771.92,OM,10.861,Upland
358,1009.342,OM,15.688,Upland
359,989.383,OM,11.034,Upland
360,644.707,OM,14.654,Upland
361,507.641,OM,7.586,Upland
362,518.05,OM,8.448,Upland
363,922.305,OM,22.24,Upland
364,950.404,OM,22.412,Upland
365,960.282,OM,21.378,Upland
366,1152.479,OM,24.136,Upland
367,948.618,OM,23.446,Upland
368,951.182,OM,22.584,Upland
369,1023.178,OM,29.308,Upland
370,1253.699,OM,27.756,Upland
371,883.945,OM,28.791,Upland
372,635.919,OM,79.649,Upland
373,883.908,OM,56.202,Upland
374,411.596,OM,58.444,Upland
375,362.593,OM,35.687,Upland
376,429.574,OM,36.721,Upland
377,294.47,OM,33.79,Upland
378,761.857,OM,61.03,Upland
379,389.338,OM,61.719,Upland
380,648.707,OM,58.099,Upland
381,522.958,OM,36.376,Upland
382,594.33,OM,40.859,Upland
383,589.551,OM,37.583,Upland
384,617.932,OM,27.584,Upland
385,547.58,OM,50.858,Upland
386,722.886,OM,19.136,Upland
387,807.484,OM,14.826,Paddy
388,676.109,OM,24.998,Paddy
389,758.225,OM,18.619,Paddy
390,635.058,OM,44.479,Paddy
391,596.11,OM,48.962,Paddy
392,574.103,OM,44.652,Paddy
393,639.546,OM,38.79,Paddy
394,373.848,OM,38.962,Paddy
395,516.079,OM,42.066,Paddy
396,717.906,OM,52.237,Paddy
397,625.238,OM,27.239,Paddy
398,875.563,OM,31.377,Paddy
399,523.126,OM,27.067,Paddy
400,249.35,OM,41.548,Paddy
401,710.637,OM,35.17,Paddy
402,692.127,OM,22.24,Paddy
403,504.388,OM,45.169,Paddy
404,329.18,OM,69.477,Paddy
405,498.429,OM,57.409,Paddy
406,658.159,OM,62.409,Paddy
407,949.903,OM,41.031,Paddy
408,991.284,OM,44.479,Paddy
409,800.703,OM,26.55,Paddy
410,333.172,OM,60.857,Paddy
411,444.113,OM,75.511,Paddy
412,629.757,OM,56.03,Paddy
413,597.065,OM,29.998,Paddy
414,442.747,OM,24.998,Paddy
415,721.404,OM,33.273,Paddy
416,804.472,OM,24.481,Paddy
417,535.172,OM,28.101,Paddy
418,684.029,OM,23.619,Paddy
419,670.041,OM,20.343,Paddy
420,767.437,OM,26.032,Paddy
421,796.459,OM,29.308,Paddy
422,788.086,OM,36.376,Paddy
423,431.045,OM,32.584,Paddy
424,496.361,OM,31.894,Paddy
425,719.399,OM,59.65,Paddy
426,448.677,OM,38.79,Paddy
427,571.003,OM,39.307,Paddy
428,595.786,OM,21.722,Paddy
429,561.664,OM,21.378,Paddy
430,764.916,OM,20.343,Paddy
431,583.37,OM,21.205,Paddy
432,609.848,OM,21.722,Paddy
433,517.395,OM,33.273,Paddy
434,305.511,OM,33.101,Paddy
435,393.598,OM,31.204,Paddy
436,589.146,OM,38.273,Paddy
437,658.366,OM,34.48,Paddy
438,279.338,OM,32.411,Paddy
439,460.482,OM,29.998,Paddy
440,570.073,OM,26.032,Paddy
441,274.352,OM,25.86,Paddy
442,471.882,OM,62.064,Paddy
443,545.259,OM,42.583,Paddy
444,693.162,OM,61.547,Paddy
445,434.697,OM,46.031,Paddy
446,362.577,OM,44.996,Paddy
447,351.047,OM,39.652,Paddy
448,306.519,OM,76.718,Paddy
449,590.669,OM,81.2,Paddy
450,713.635,OM,60.168,Paddy
451,475.267,OM,50.858,Paddy
452,645.646,OM,36.032,Paddy
453,547.45,OM,32.239,Paddy
